SP;Department;Region;iose2005-08;resist Tomma;ANPP 2005-2006;ANPP 2006-2007;ANPP 2007-2008;Yn;omega resistencia;ANPP 2008-2009;recuperacion;ANPP 2009-2010;ANPP 2010-2011;ANPP 2011-2012;NSP 2005-2006;NSP 2006-2007;NSP2007-2008;NSP 2008-2009;NSP 2009-2010;NSP 2010-2011;NSP 2011-2012;TEf 2005-2006;TEf 2006-2007;TEf 2007-2008;TEf 2008-2009;TEf 2009-2010;TEf 2010-2011;TEf 2011-2012;PPT 2003-2004;PPT 2004-2005;PPT 2005-2006;PPT 2006-2007;PPT 2007-2008;PPT 2008-2009;PPT 2009-2010;PPT 2010-2011;PPT 2011-2012
G10;Artigas;Basalto;0.588406102;0.852420023;56541.8;66102.2;54507.6;59050.5;6.8;50335.9;0.9;68532.2;52395.0;61346.7;748.6;774.1;590.8;820.7;628.2;693.6;719.6;0.0132;0.0117;0.0108;0.0163;0.0092;0.0132;0.0117;1187.9;1366.2;1172.5;1558.1;1182.2;1236.3;2063.1;1051.0;1091.6
G04;Artigas;Basalto;0.614111855;0.885364466;58797.1;71255.0;60517.4;63523.1;8.7;56241.1;1.5;68532.9;57411.4;61946.6;969.0;664.7;603.8;838.2;702.7;645.7;810.3;0.0165;0.0093;0.0100;0.0149;0.0103;0.0112;0.0131;1256.6;1429.2;1179.2;1613.6;1252.5;1270.6;2100.6;1101.1;1077.2
G09;Artigas;Basalto;0.596258448;0.886116984;56341.5;71051.5;58108.6;61833.9;8.8;54792.1;0.7;72569.9;55814.6;63972.8;906.1;719.0;774.9;763.9;784.5;754.0;905.2;0.0161;0.0101;0.0133;0.0139;0.0108;0.0135;0.0141;1123.6;1403.8;1118.2;1503.9;1137.8;1099.1;1994.7;1022.3;1117.8
G03;Artigas;Basalto;0.607119981;0.898181014;56475.8;65268.5;53540.8;58428.4;9.8;52479.3;0.9;64945.6;51305.4;58256.9;761.4;616.7;588.2;637.6;605.1;500.0;635.9;0.0135;0.0094;0.0110;0.0121;0.0093;0.0097;0.0109;1217.9;1345.8;1196.5;1563.5;1186.6;1271.5;2066.0;1105.9;1091.7
G11;Artigas;Basalto;0.603656862;0.900088678;58067.3;68902.2;55186.5;60718.7;10.0;54652.2;0.8;68193.0;54599.1;60392.9;729.4;659.1;573.4;817.9;637.2;602.7;748.0;0.0126;0.0096;0.0104;0.0150;0.0093;0.0110;0.0124;1199.4;1317.9;1161.9;1521.1;1135.6;1218.8;2014.5;1090.1;1102.8
G12;Artigas;Basalto;0.600953102;0.928793693;57298.6;70663.2;56848.8;61603.6;14.0;57217.0;0.6;68969.8;49599.4;64178.3;889.2;613.2;906.4;796.8;842.6;719.4;852.7;0.0155;0.0087;0.0159;0.0139;0.0122;0.0145;0.0133;1242.4;1385.1;1226.5;1606.2;1235.4;1315.4;2110.1;1102.0;1085.3
G05;Artigas;Basalto;0.599568196;0.931235941;56340.2;69942.2;56026.6;60769.6;14.5;56590.9;0.5;69054.9;56741.9;64255.5;877.2;769.0;724.2;828.0;820.8;699.1;821.9;0.0156;0.0110;0.0129;0.0146;0.0119;0.0123;0.0128;1216.8;1525.4;1159.9;1583.1;1208.2;1174.5;2107.2;1029.7;1140.8
O12;Florida;Sierras;0.639817925;0.822534785;71658.9;73963.0;70254.5;71958.8;5.6;59188.6;1.5;80356.3;55716.7;64042.2;787.9;776.8;825.3;671.0;709.9;483.7;637.1;0.0110;0.0105;0.0117;0.0113;0.0088;0.0087;0.0099;1334.0;1519.5;1213.2;1760.2;1063.3;918.2;2004.1;1183.7;1214.2
P05;Lavalleja;Sierras;0.663723867;0.846260917;74153.8;72048.4;71659.3;72620.5;6.5;61455.9;1.2;82325.3;60169.8;70270.8;904.8;987.7;807.2;533.1;963.1;826.8;853.6;0.0122;0.0137;0.0113;0.0087;0.0117;0.0137;0.0121;1363.7;1539.0;1149.1;1644.8;1101.1;898.9;1849.8;1245.7;1210.7
P12;Lavalleja;Sierras;0.67566045;0.849989095;74989.0;75344.3;75018.3;75117.2;6.7;63848.8;1.6;82255.5;60734.7;68273.7;808.2;895.3;895.5;733.7;808.1;626.7;676.3;0.0108;0.0119;0.0119;0.0115;0.0098;0.0103;0.0099;1449.5;1609.9;1203.1;1757.7;1228.7;927.0;1873.5;1252.2;1274.3
